tol,batch,logged_forward,backward
1e+00,58,13,6
1e+00,59,13,6
1e+00,60,13,6
1e+00,61,13,6
1e+00,62,13,6
1e+00,63,13,6
1e+00,64,13,6
1e+00,65,13,6
1e+00,66,13,6
1e+00,67,13,6
1e+00,68,13,6
1e+00,69,13,6
1e+00,70,13,6
1e+00,71,13,6
1e+00,72,13,6
1e+00,73,13,6
1e+00,74,13,6
1e+00,75,13,6
1e+00,76,13,6
1e+00,77,13,6
1e+00,78,13,6
1e+00,79,13,6
1e+00,80,13,6
1e+00,81,13,6
1e+00,82,13,6
1e+00,83,13,6
1e+00,84,13,6
1e+00,85,13,6
1e+00,86,13,6
1e+00,87,13,6
1e+00,88,13,6
1e+00,89,13,6
1e+00,90,13,6
1e+00,91,13,6
1e+00,92,13,6
1e+00,93,13,6
1e+00,94,13,6
1e+00,95,13,6
1e+00,96,13,6
1e+00,97,13,6
1e+00,98,13,6
1e+00,99,13,6
1e+00,100,13,6
