model,augment_dim,seed,budget,train_tol,eval_tol,val_acc,val_loss,dense_acc,fwd_nfe_median,fwd_nfe_q1,fwd_nfe_q3,fwd_nfe_max,recon_max,recon_mean,recon_ok,elapsed_s
NODE,0,3,200,1e-06,1e-06,0.9916666666666667,0.05146212684533869,0.996749997138977,386.0,188.0,416.0,452.0,0.0013671842170879245,0.0001985892013181001,1,614.8
NODE,0,3,500,1e-06,1e-06,0.9958333333333333,0.15925415390775016,0.997083306312561,380.0,206.0,407.0,428.0,0.0011957439128309488,0.00023438477364834398,1,1353.2
NODE,0,3,1000,1e-06,1e-06,0.9958333333333333,0.479871918757433,0.9957500100135803,416.0,263.0,434.0,470.0,0.0009657592745497823,0.00019988430722150952,1,2644.7
NODE,0,4,25,1e-06,1e-06,0.9875,0.040980946645140647,0.9888333082199097,206.0,134.0,212.0,248.0,0.0008856875938363373,0.00016548992425668985,1,48.3
NODE,0,4,50,1e-06,1e-06,1.0,0.006059021595865488,0.9990000128746033,218.0,170.0,230.0,242.0,0.0027390955947339535,0.0002571589720901102,1,109.9
NODE,0,4,100,1e-06,1e-06,0.9875,0.05098188569148381,0.9909166693687439,320.0,224.0,329.0,350.0,0.005550328642129898,0.0007858359022065997,1,415.3
NODE,0,4,200,1e-06,1e-06,0.9791666666666666,0.14699085156122843,0.9710833430290222,470.0,440.0,485.0,542.0,0.0012118489248678088,0.00029884325340390205,1,1676.7
NODE,0,4,500,1e-06,1e-06,0.925,0.2123422960440318,0.9245833158493042,572.0,512.0,602.0,638.0,0.12124881148338318,0.0017916157376021147,0,6495.6
NODE,0,4,1000,1e-06,1e-06,0.9625,0.12138679002722104,0.9786666631698608,812.0,623.0,824.0,860.0,0.3758701980113983,0.020383736118674278,0,20905.8
ANODE-p1,1,0,25,1e-06,1e-06,1.0,0.0014899328428631027,0.9991666674613953,194.0,101.0,206.0,224.0,0.0004747994535136968,9.587025851942599e-05,1,42.5
ANODE-p1,1,0,50,1e-06,1e-06,1.0,6.38232488806049e-05,0.9990833401679993,200.0,119.0,206.0,230.0,0.0006212016451172531,0.00012209877604618669,1,79.3
ANODE-p1,1,0,100,1e-06,1e-06,1.0,4.128013218481404e-06,0.9988333582878113,200.0,122.0,206.0,218.0,0.0007404246716760099,0.00015373289352282882,1,150.5
ANODE-p1,1,0,200,1e-06,1e-06,1.0,4.991864519373242e-07,0.9987499713897705,200.0,128.0,206.0,242.0,0.0006817126413807273,0.00013467296957969666,1,289.7
ANODE-p1,1,0,500,1e-06,1e-06,1.0,2.2848437926844174e-08,0.9989166855812073,206.0,134.0,212.0,224.0,0.0005444297567009926,0.00014116850798018277,1,697.4
ANODE-p1,1,0,1000,1e-06,1e-06,1.0,4.967053435223079e-10,0.9993333220481873,206.0,137.0,218.0,236.0,0.0005733915022574365,0.00012984596833121032,1,1385.8
ANODE-p1,1,1,25,1e-06,1e-06,1.0,0.0008269751056407888,0.999916672706604,152.0,92.0,158.0,158.0,0.00047848111717030406,9.843800216913223e-05,1,31.7
ANODE-p1,1,1,50,1e-06,1e-06,1.0,0.00011763277725549415,0.999833345413208,152.0,92.0,158.0,164.0,0.0004676448297686875,9.111369581660256e-05,1,60.8
ANODE-p1,1,1,100,1e-06,1e-06,1.0,1.9657400298456195e-05,0.999833345413208,158.0,92.0,158.0,170.0,0.0005334345041774213,0.00011989869381068274,1,117.1
ANODE-p1,1,1,200,1e-06,1e-06,1.0,2.9767385134012633e-06,0.999666690826416,158.0,92.0,164.0,176.0,0.00035289282095618546,0.00010068187111755833,1,228.1
ANODE-p1,1,1,500,1e-06,1e-06,1.0,9.884435385743018e-08,0.9995833039283752,164.0,98.0,170.0,188.0,0.0004627919988706708,0.00011000949598383158,1,571.7
ANODE-p1,1,1,1000,1e-06,1e-06,1.0,0.0,0.9995833039283752,164.0,98.0,170.0,182.0,0.0005706304218620062,0.00012465853069443256,1,1160.1
ANODE-p1,1,2,25,1e-06,1e-06,1.0,0.00026083545041425776,0.999916672706604,164.0,98.0,170.0,176.0,0.000627923000138253,0.00011277797602815554,1,35.9
ANODE-p1,1,2,50,1e-06,1e-06,1.0,9.448512126416138e-06,0.999833345413208,170.0,128.0,176.0,188.0,0.0004239128320477903,0.00010782048775581643,1,67.0
ANODE-p1,1,2,100,1e-06,1e-06,1.0,3.1708060073280348e-06,0.999833345413208,170.0,140.0,176.0,188.0,0.0005654423730447888,0.00010719094279920682,1,127.9
ANODE-p1,1,2,200,1e-06,1e-06,1.0,1.1556770885749282e-06,0.999833345413208,170.0,143.0,176.0,194.0,0.00044471753062680364,0.00010535240289755166,1,249.4
ANODE-p1,1,2,500,1e-06,1e-06,1.0,1.8427366130779887e-07,0.999916672706604,170.0,146.0,176.0,182.0,0.000411811750382185,0.00011970545165240765,1,617.8
ANODE-p1,1,2,1000,1e-06,1e-06,1.0,4.072963974977029e-08,1.0,176.0,158.0,182.0,194.0,0.00047781402827240527,0.00010648345778463408,1,1248.3
ANODE-p1,1,3,25,1e-06,1e-06,1.0,0.00045258948036159077,0.999750018119812,158.0,92.0,164.0,170.0,0.0004888061666861176,8.648166840430349e-05,1,34.5
