model,seed,epoch,eval_tol,fwd_nfe,recon_rel,recon_ok,capped
ANODE-p5,3,1,1e-06,56,0.00023432682792190462,1,0
ANODE-p5,3,1,1e-07,134,3.6520588764688e-05,1,0
ANODE-p5,3,2,1e-05,56,0.0029181605204939842,1,0
ANODE-p5,3,2,1e-06,104,0.0005394250620156527,1,0
ANODE-p5,3,2,1e-07,200,0.00010224766447208822,1,0
ANODE-p5,3,3,1e-05,44,0.003255115356296301,1,0
ANODE-p5,3,3,1e-06,86,0.000632778275758028,1,0
ANODE-p5,3,3,1e-07,194,9.607415267964825e-05,1,0
ANODE-p5,3,4,1e-05,44,0.0037497549783438444,1,0
ANODE-p5,3,4,1e-06,92,0.0006322002154774964,1,0
ANODE-p5,3,4,1e-07,218,8.889546734280884e-05,1,0
ANODE-p5,3,5,1e-05,44,0.0037907178048044443,1,0
ANODE-p5,3,5,1e-06,92,0.0005684380885213614,1,0
ANODE-p5,3,5,1e-07,230,8.815316687105224e-05,1,0
ANODE-p5,3,6,1e-05,50,0.0036170880775898695,1,0
ANODE-p5,3,6,1e-06,92,0.0006225660326890647,1,0
ANODE-p5,3,6,1e-07,224,9.475184924667701e-05,1,0
ANODE-p5,3,7,1e-05,50,0.0033394780475646257,1,0
ANODE-p5,3,7,1e-06,98,0.0006895763799548149,1,0
ANODE-p5,3,7,1e-07,212,9.814180521061644e-05,1,0
ANODE-p5,3,8,1e-05,50,0.002341559622436762,1,0
ANODE-p5,3,8,1e-06,92,0.0007833738927729428,1,0
ANODE-p5,3,8,1e-07,242,9.442746522836387e-05,1,0
ANODE-p5,4,1,1e-05,38,0.0013200048124417663,1,0
ANODE-p5,4,1,1e-06,62,0.0003979168541263789,1,0
ANODE-p5,4,1,1e-07,152,5.73740981053561e-05,1,0
ANODE-p5,4,2,1e-05,44,0.002197415102273226,1,0
ANODE-p5,4,2,1e-06,68,0.0005360087379813194,1,0
ANODE-p5,4,2,1e-07,164,8.78553546499461e-05,1,0
ANODE-p5,4,3,1e-05,44,0.003379672998562455,1,0
ANODE-p5,4,3,1e-06,80,0.0004513754684012383,1,0
ANODE-p5,4,3,1e-07,188,0.0001016084715956822,1,0
ANODE-p5,4,4,1e-05,50,0.0021614120341837406,1,0
ANODE-p5,4,4,1e-06,86,0.000668918015435338,1,0
ANODE-p5,4,4,1e-07,194,0.000124346450320445,1,0
ANODE-p5,4,5,1e-05,50,0.002845676615834236,1,0
ANODE-p5,4,5,1e-06,86,0.0006375886732712388,1,0
ANODE-p5,4,5,1e-07,200,0.00011745664232876152,1,0
ANODE-p5,4,6,1e-05,50,0.0038518619257956743,1,0
ANODE-p5,4,6,1e-06,86,0.0009563136263750494,1,0
ANODE-p5,4,6,1e-07,200,0.00012287810386624187,1,0
ANODE-p5,4,7,1e-05,50,0.0033989674411714077,1,0
ANODE-p5,4,7,1e-06,92,0.0009282329701818526,1,0
ANODE-p5,4,7,1e-07,230,0.00012283853720873594,1,0
ANODE-p5,4,8,1e-05,50,0.004774771630764008,1,0
ANODE-p5,4,8,1e-06,92,0.000559666776098311,1,0
ANODE-p5,4,8,1e-07,230,0.00011917456868104637,1,0
