field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
spheres,0,0,dopri8,0.001,0.001,1.0,41,548,13.365853658536585,0.0006381750572472811,1,0.0007420725887641311,1,0.18,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri8,0.001,0.1,100.0,41,106,2.5853658536585367,0.0006381750572472811,1,0.0040632146410644054,1,0.05,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri8,1e-05,1e-05,1.0,119,8777,73.75630252100841,9.893227252177894e-05,1,0.0002923071151599288,1,2.63,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri8,1e-05,0.001,100.0,119,496,4.168067226890757,9.893227252177894e-05,1,0.000506669981405139,1,0.19,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri8,1e-07,1e-07,1.0,730,55603,76.16849315068494,2.7590392619458726e-06,1,0.0002905275905504823,1,16.9,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri8,1e-07,9.999999999999999e-06,100.0,730,8998,12.326027397260274,2.7590392619458726e-06,1,0.0002912851923611015,1,2.87,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,bosh3,0.001,0.001,1.0,11,47,4.2727272727272725,0.03864405304193497,0,0.042242903262376785,0,0.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,bosh3,0.001,0.1,100.0,11,14,1.2727272727272727,0.03864405304193497,0,0.04368261620402336,0,0.01,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,bosh3,1e-05,1e-05,1.0,29,944,32.55172413793103,0.0006321512046270072,1,0.0009787761373445392,1,0.36,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,bosh3,1e-05,0.001,100.0,29,41,1.4137931034482758,0.0006321512046270072,1,0.001999590778723359,1,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,bosh3,1e-07,1e-07,1.0,176,16607,94.35795454545455,1.5813538993825205e-05,1,0.0002915005898103118,1,6.21,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,bosh3,1e-07,9.999999999999999e-06,100.0,176,935,5.3125,1.5813538993825205e-05,1,0.00031283622956834733,1,0.42,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,adaptive_heun,0.001,0.001,1.0,10,61,6.1,0.0009393916116096079,1,0.001765560475178063,1,0.04,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,adaptive_heun,0.001,0.1,100.0,10,8,0.8,0.0009393916116096079,1,0.02480095997452736,0,0.01,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,adaptive_heun,1e-05,1e-05,1.0,64,1288,20.125,1.1851198905787896e-05,1,0.0003085146890953183,1,0.77,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
