model,augment_dim,geometry,seed,epochs,width_over_pi,n_train_after_slice,n_slice_val,train_acc,train_loss,full_val_acc,full_val_loss,slice_val_acc,slice_val_loss,obs_val_acc,obs_val_loss,gen_gap_loss,fwd_nfe,recon_max,recon_ok,train_tol,eval_tol,hardware,wall_s
ANODE-p5,5,spheres,3,100,0.125,1127,179,1.0,2.1155151241902814e-10,0.999666690826416,0.0022145803086459637,1.0,0.0,0.9996455311775208,0.0023551012855023146,-2.1155151241902814e-10,182.0,0.002113587688654661,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,264.3
ANODE-p5,5,spheres,0,100,0.125,1111,195,1.0,0.00027265746030025184,0.9990000128746033,0.004009701777249575,1.0,0.00031960272463038564,0.9989304542541504,0.004266232717782259,4.6945264330133796e-05,182.0,0.0028779651038348675,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,316.5
ANODE-p5,5,spheres,4,100,0.125,1112,183,1.0,0.0,0.9980000257492065,0.01625540293753147,1.0,0.0,0.9978700876235962,0.017311396077275276,0.0,194.0,0.003146982518956065,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,295.9
ANODE-p5,5,spheres,5,100,0.125,1115,202,1.0,3.175350116180198e-08,1.0,3.298123019135346e-08,1.0,4.249043428217192e-08,1.0,3.2294721563630446e-08,1.073693312036994e-08,164.0,0.0004764995537698269,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,259.0
ANODE-p3,3,spheres,8,100,0.125,1121,163,1.0,2.915872698849853e-07,1.0,1.2935737458974472e-06,1.0,1.8283632385873716e-08,1.0,1.366845594930055e-06,-2.733036374991116e-07,236.0,0.08474607020616531,0,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,368.3
ANODE-p5,5,spheres,9,100,0.125,1131,184,1.0,5.827061613672413e-06,0.9990000128746033,0.003785161068663001,1.0,3.7479421735042706e-06,0.9989346861839294,0.004032242111861706,-2.0791194401681423e-06,158.0,0.000927027256693691,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,193.2
ANODE-p5,5,spheres,6,100,0.125,1145,157,1.0,3.3628349882519615e-08,1.0,1.4124982044450007e-05,1.0,4.988371529179858e-07,1.0,1.487746339989826e-05,4.652088030354662e-07,170.0,0.0005267472588457167,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,264.1
ANODE-p5,5,spheres,7,100,0.125,1128,170,1.0,0.0006429980276152492,0.9990000128746033,0.002815728774294257,1.0,0.0006241799565032125,0.9989399313926697,0.0029473770409822464,-1.8818071112036705e-05,158.0,0.0005860165692865849,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,258.9
ANODE-p5,5,spheres,8,100,0.125,1121,163,1.0,4.212176918372279e-07,1.0,3.9974469245862565e-07,1.0,6.21643394538296e-08,1.0,4.1914040593837854e-07,-3.590533523833983e-07,188.0,0.00040168699342757463,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,258.5
NODE,0,spheres,0,100,0.2,1069,287,1.0,6.430933808587724e-06,0.9629999995231628,0.7175379991531372,0.6132404208183289,7.498092174530029,1.0,0.00024390281760133803,7.498085743596221,218.0,0.0007166696595959365,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,282.0
NODE,0,spheres,1,100,0.2,1087,320,1.0,3.2349314551538555e-06,0.9470000267028809,0.9228766560554504,0.518750011920929,8.402246475219727,0.9981343150138855,0.02981751598417759,8.402243240288271,224.0,0.0006116550066508353,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,307.1
NODE,0,spheres,3,100,0.2,1084,278,1.0,3.852742793242214e-06,0.9646666646003723,0.5643137097358704,0.6187050342559814,6.089211463928223,1.0,5.158522981218994e-05,6.089207611185429,200.0,0.0011672230903059244,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,284.6
NODE,0,spheres,6,100,0.125,1145,157,0.8296943306922913,0.43164101243019104,0.8233333230018616,0.4391615688800812,0.9171974658966064,0.4044509828090668,0.8181498646736145,0.44107839465141296,-0.027190029621124268,362.0,0.009018776006996632,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,1361.5
NODE,0,spheres,9,100,0.2,1090,292,1.0,1.427302231604699e-05,0.9649999737739563,0.46222004294395447,0.6404109597206116,4.747677326202393,1.0,0.0001249995402758941,4.7476630531800765,200.0,0.0006513861590065062,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,213.8
NODE,0,spheres,8,100,0.2,1080,288,1.0,1.9459175746305846e-05,0.9549999833106995,0.571157693862915,0.5381944179534912,5.922582149505615,0.9992625117301941,0.002864870708435774,5.922562690329869,182.0,0.0007757164421491325,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,256.3
NODE,0,spheres,5,100,0.2,1079,326,1.0,0.0001304353354498744,0.999666690826416,0.0028687056619673967,1.0,0.0001714620302664116,0.9996260404586792,0.0031975398305803537,4.10266948165372e-05,164.0,0.0008389319409616292,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,290.7
