model,params,seed,epoch,tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,faithful_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,85316,1,3,0.001,1e-06,0.9211,0.27180874393781024,0.9296,0.24586579253673554,31.872340425531913,104,0.00017393137386534363,1,-0.008499999999999952,86.9,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,3,0.001,1e-07,0.9211,0.27180874393781024,0.9296,0.24586579253673554,31.872340425531913,284,4.9749858590075746e-05,1,-0.008499999999999952,86.9,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,4,0.001,0.001,0.92475,0.25595499045054115,0.9317,0.23640849289894103,34.246808510638296,44,0.018449191004037857,0,-0.006950000000000012,86.9,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,4,0.001,1e-05,0.92475,0.25595499045054115,0.9317,0.23640849289894103,34.246808510638296,74,0.0009277882054448128,1,-0.006950000000000012,86.9,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,4,0.001,1e-06,0.92475,0.25595499045054115,0.9317,0.23640849289894103,34.246808510638296,122,0.0005318949115462601,1,-0.006950000000000012,86.9,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,4,0.001,1e-07,0.92475,0.25595499045054115,0.9317,0.23640849289894103,34.246808510638296,296,9.680324728833511e-05,1,-0.006950000000000012,86.9,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,5,0.001,0.001,0.9294166666666667,0.2409016945362091,0.9341,0.2288547191500664,34.706382978723404,32,0.11217732727527618,0,-0.004683333333333373,89.1,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,5,0.001,1e-05,0.9294166666666667,0.2409016945362091,0.9341,0.2288547191500664,34.706382978723404,56,0.0013518182095140219,1,-0.004683333333333373,89.1,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,5,0.001,1e-06,0.9294166666666667,0.2409016945362091,0.9341,0.2288547191500664,34.706382978723404,110,0.0002782370720524341,1,-0.004683333333333373,89.1,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,5,0.001,1e-07,0.9294166666666667,0.2409016945362091,0.9341,0.2288547191500664,34.706382978723404,326,0.0001173712735180743,1,-0.004683333333333373,89.1,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,6,0.001,0.001,0.9339666666666666,0.22750251673857372,0.9363,0.22047014999985695,33.251063829787235,32,0.14952516555786133,0,-0.0023333333333334094,98.8,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,6,0.001,1e-05,0.9339666666666666,0.22750251673857372,0.9363,0.22047014999985695,33.251063829787235,68,0.005013321992009878,1,-0.0023333333333334094,98.8,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,6,0.001,1e-06,0.9339666666666666,0.22750251673857372,0.9363,0.22047014999985695,33.251063829787235,140,0.001443393062800169,1,-0.0023333333333334094,98.8,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,6,0.001,1e-07,0.9339666666666666,0.22750251673857372,0.9363,0.22047014999985695,33.251063829787235,374,0.0004466912359930575,1,-0.0023333333333334094,98.8,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,7,0.001,0.001,0.9381833333333334,0.21157124800682067,0.9422,0.20696030977964402,34.14468085106383,32,0.5632125735282898,0,-0.004016666666666668,111.7,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,7,0.001,1e-05,0.9381833333333334,0.21157124800682067,0.9422,0.20696030977964402,34.14468085106383,74,0.043372850865125656,0,-0.004016666666666668,111.7,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,7,0.001,1e-06,0.9381833333333334,0.21157124800682067,0.9422,0.20696030977964402,34.14468085106383,146,0.006643675267696381,1,-0.004016666666666668,111.7,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,7,0.001,1e-07,0.9381833333333334,0.21157124800682067,0.9422,0.20696030977964402,34.14468085106383,524,0.0016918334877118468,1,-0.004016666666666668,111.7,nan,nan,NVIDIA GeForce RTX 3090
