model_name,augment_dim,seed,epochs,lr,batch_size,ode_hidden_dim,n_samples,train_tol,train_mse_at_train_tol,train_nfe_at_train_tol,eval_tol,mse,fwd_nfe,recon_rel,recon_ok,capped,hardware
ANODE-p5,5,0,50,0.001,64,32,3000,0.001,4.955662916472647e-06,20.0,0.001,4.955662916472647e-06,20.0,0.007875259034335613,1,0,cpu
ANODE-p5,5,0,50,0.001,64,32,3000,0.001,4.955662916472647e-06,20.0,1e-05,2.8703361749649048e-06,38.0,0.0012767770094797015,1,0,cpu
ANODE-p5,5,0,50,0.001,64,32,3000,0.001,4.955662916472647e-06,20.0,1e-06,2.5289289169450058e-06,74.0,0.0002576519618742168,1,0,cpu
ANODE-p5,5,0,50,0.001,64,32,3000,0.001,4.955662916472647e-06,20.0,1e-07,2.5056276626855833e-06,194.0,5.708629760192707e-05,1,0,cpu
ANODE-p5,5,0,50,0.001,64,32,3000,0.001,4.955662916472647e-06,20.0,1e-08,2.5080730665649753e-06,404.0,1.0450582522025798e-05,1,0,cpu
ANODE-p5,5,0,50,0.001,64,32,3000,0.001,4.955662916472647e-06,20.0,1e-09,2.5080892100959318e-06,896.0,3.3585338314878754e-06,1,0,cpu
ANODE-p5,5,1,50,0.001,64,32,3000,0.001,1.3954954170003475e-07,20.0,0.001,1.3954954170003475e-07,20.0,0.0055315871722996235,1,0,cpu
ANODE-p5,5,1,50,0.001,64,32,3000,0.001,1.3954954170003475e-07,20.0,1e-05,8.615889441898616e-07,38.0,0.0021123960614204407,1,0,cpu
ANODE-p5,5,1,50,0.001,64,32,3000,0.001,1.3954954170003475e-07,20.0,1e-06,8.515051490576298e-07,62.0,0.00030524071189574897,1,0,cpu
ANODE-p5,5,1,50,0.001,64,32,3000,0.001,1.3954954170003475e-07,20.0,1e-07,1.027669327413605e-06,122.0,5.2814488299191e-05,1,0,cpu
ANODE-p5,5,1,50,0.001,64,32,3000,0.001,1.3954954170003475e-07,20.0,1e-08,1.0119210855918936e-06,320.0,7.450415523635456e-06,1,0,cpu
ANODE-p5,5,1,50,0.001,64,32,3000,0.001,1.3954954170003475e-07,20.0,1e-09,1.0113416237800266e-06,698.0,6.648593625868671e-06,1,0,cpu
ANODE-p5,5,2,50,0.001,64,32,3000,0.001,1.2802065612049773e-05,20.0,0.001,1.2802065612049773e-05,20.0,0.02797146514058113,0,0,cpu
ANODE-p5,5,2,50,0.001,64,32,3000,0.001,1.2802065612049773e-05,20.0,1e-05,3.4422060707584023e-05,44.0,0.0022406040225178003,1,0,cpu
ANODE-p5,5,2,50,0.001,64,32,3000,0.001,1.2802065612049773e-05,20.0,1e-06,3.5644239687826484e-05,86.0,0.00043100013863295317,1,0,cpu
ANODE-p5,5,2,50,0.001,64,32,3000,0.001,1.2802065612049773e-05,20.0,1e-07,3.569266846170649e-05,230.0,8.800927753327414e-05,1,0,cpu
ANODE-p5,5,2,50,0.001,64,32,3000,0.001,1.2802065612049773e-05,20.0,1e-08,3.571219349396415e-05,494.0,1.7946607840713114e-05,1,0,cpu
ANODE-p5,5,2,50,0.001,64,32,3000,0.001,1.2802065612049773e-05,20.0,1e-09,3.5717202990781516e-05,1058.0,6.776498139515752e-06,1,0,cpu
ANODE-p5,5,3,50,0.001,64,32,3000,0.001,7.993988901944249e-07,20.0,0.001,7.993988901944249e-07,20.0,0.01776880957186222,0,0,cpu
ANODE-p5,5,3,50,0.001,64,32,3000,0.001,7.993988901944249e-07,20.0,1e-05,5.859124939888716e-06,44.0,0.0015342151746153831,1,0,cpu
ANODE-p5,5,3,50,0.001,64,32,3000,0.001,7.993988901944249e-07,20.0,1e-06,5.208643869991647e-06,74.0,0.0002931854978669435,1,0,cpu
ANODE-p5,5,3,50,0.001,64,32,3000,0.001,7.993988901944249e-07,20.0,1e-07,5.176518243388273e-06,170.0,7.016912422841415e-05,1,0,cpu
ANODE-p5,5,3,50,0.001,64,32,3000,0.001,7.993988901944249e-07,20.0,1e-08,5.184748715691967e-06,356.0,1.1833069038402755e-05,1,0,cpu
ANODE-p5,5,3,50,0.001,64,32,3000,0.001,7.993988901944249e-07,20.0,1e-09,5.185541795071913e-06,782.0,7.206307600426953e-06,1,0,cpu
ANODE-p5,5,4,50,0.001,64,32,3000,0.001,6.327979917841731e-06,20.0,0.001,6.327979917841731e-06,20.0,0.015745194628834724,0,0,cpu
ANODE-p5,5,4,50,0.001,64,32,3000,0.001,6.327979917841731e-06,20.0,1e-05,8.511718078807462e-06,38.0,0.0021779865492135286,1,0,cpu
ANODE-p5,5,4,50,0.001,64,32,3000,0.001,6.327979917841731e-06,20.0,1e-06,8.58356634125812e-06,68.0,0.0004150959139224142,1,0,cpu
ANODE-p5,5,4,50,0.001,64,32,3000,0.001,6.327979917841731e-06,20.0,1e-07,8.470587090414483e-06,164.0,8.440907549811527e-05,1,0,cpu
ANODE-p5,5,4,50,0.001,64,32,3000,0.001,6.327979917841731e-06,20.0,1e-08,8.480468750349246e-06,392.0,1.0620384273352101e-05,1,0,cpu
ANODE-p5,5,4,50,0.001,64,32,3000,0.001,6.327979917841731e-06,20.0,1e-09,8.481443728669547e-06,848.0,9.37223740038462e-06,1,0,cpu
