model,params,seed,epoch,train_tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,eval_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s
NODE,173611,0,9,0.001,1e-05,0.59878,1.1366824696731568,0.5373,1.294591982460022,26.0,56,0.0006751439068466425,1,0.06147999999999998,214.8
NODE,173611,0,9,0.001,1e-06,0.59878,1.1366824696731568,0.5373,1.294591982460022,26.0,116,0.00030783741385675967,1,0.06147999999999998,214.8
NODE,173611,0,9,0.001,1e-07,0.59878,1.1366824696731568,0.5373,1.294591982460022,26.0,392,3.66493477486074e-05,1,0.06147999999999998,214.8
NODE,173611,0,10,0.001,1e-05,0.61534,1.092833977470398,0.5352,1.3118091495513915,26.0,62,0.0006718267686665058,1,0.08013999999999999,218.6
NODE,173611,0,10,0.001,1e-06,0.61534,1.092833977470398,0.5352,1.3118091495513915,26.0,122,0.00023249526566360146,1,0.08013999999999999,218.6
NODE,173611,0,10,0.001,1e-07,0.61534,1.092833977470398,0.5352,1.3118091495513915,26.0,410,0.00017369876150041819,1,0.08013999999999999,218.6
NODE,173611,1,1,0.001,1e-05,0.37194,1.7757968932724,0.4287,1.6250867544174195,19.96938775510204,38,0.0005544562009163201,1,-0.05676000000000003,137.1
NODE,173611,1,1,0.001,1e-06,0.37194,1.7757968932724,0.4287,1.6250867544174195,19.96938775510204,62,6.469062645919621e-05,1,-0.05676000000000003,137.1
NODE,173611,1,1,0.001,1e-07,0.37194,1.7757968932724,0.4287,1.6250867544174195,19.96938775510204,230,1.695159517112188e-05,1,-0.05676000000000003,137.1
NODE,173611,1,2,0.001,1e-05,0.4401,1.608666988067627,0.436,1.5909613216400147,20.03061224489796,38,0.0006085073691792786,1,0.0040999999999999925,146.3
NODE,173611,1,2,0.001,1e-06,0.4401,1.608666988067627,0.436,1.5909613216400147,20.03061224489796,74,8.687357330927625e-05,1,0.0040999999999999925,146.3
NODE,173611,1,2,0.001,1e-07,0.4401,1.608666988067627,0.436,1.5909613216400147,20.03061224489796,266,2.983198282890953e-05,1,0.0040999999999999925,146.3
NODE,173611,1,3,0.001,1e-05,0.46194,1.536605971031189,0.4604,1.5049421752929688,21.193877551020407,50,0.0006905919290147722,1,0.0015400000000000413,152.1
NODE,173611,1,3,0.001,1e-06,0.46194,1.536605971031189,0.4604,1.5049421752929688,21.193877551020407,86,0.00012018954294035211,1,0.0015400000000000413,152.1
